RAST_GENE_ID	NCBI_GENE_ID
fiG|1005566.5.peG.1	rpmH
fiG|1005566.5.peG.10	yieF
fiG|1005566.5.peG.100	yigB
fiG|1005566.5.peG.1000	ykfB
fiG|1005566.5.peG.1001	ykfF
fiG|1005566.5.peG.1002	yafX
fiG|1005566.5.peG.1003	ykfG
fiG|1005566.5.peG.1004	ykfH
fiG|1005566.5.peG.1005	yafW
fiG|1005566.5.peG.1006	ykfI
fiG|1005566.5.peG.1007	proA
fiG|1005566.5.peG.1008	proB
fiG|1005566.5.peG.1009	phoE
fiG|1005566.5.peG.101	uvrD
fiG|1005566.5.peG.1010	insB
fiG|1005566.5.peG.1011	lacY
fiG|1005566.5.peG.1012	lacZ
fiG|1005566.5.peG.1013	lacI
fiG|1005566.5.peG.1014	mhpR
fiG|1005566.5.peG.1015	mhpA
fiG|1005566.5.peG.1016	mhpB
fiG|1005566.5.peG.1017	NA
fiG|1005566.5.peG.1018	mhpC
fiG|1005566.5.peG.1019	mhpD
fiG|1005566.5.peG.102	yigE
fiG|1005566.5.peG.1020	mhpF
fiG|1005566.5.peG.1021	mhpE
fiG|1005566.5.peG.1022	mhpT
fiG|1005566.5.peG.1023	yaiL
fiG|1005566.5.peG.1024	frmB
fiG|1005566.5.peG.1025	frmA
fiG|1005566.5.peG.1026	frmR
fiG|1005566.5.peG.1027	yaiO
fiG|1005566.5.peG.1028	NA
fiG|1005566.5.peG.1029	insC
fiG|1005566.5.peG.103	NA
fiG|1005566.5.peG.1030	insD
fiG|1005566.5.peG.1031	yaiP
fiG|1005566.5.peG.1032	yaiS
fiG|1005566.5.peG.1033	tauA
fiG|1005566.5.peG.1034	tauB
fiG|1005566.5.peG.1035	tauC
fiG|1005566.5.peG.1036	tauD
fiG|1005566.5.peG.1037	hemB
fiG|1005566.5.peG.1038	ykiB
fiG|1005566.5.peG.1039	yaiT
fiG|1005566.5.peG.104	corA
fiG|1005566.5.peG.1040	insF
fiG|1005566.5.peG.1041	insE
fiG|1005566.5.peG.1042	yaiU
fiG|1005566.5.peG.1043	yaiV
fiG|1005566.5.peG.1044	ampH
fiG|1005566.5.peG.1045	NA
fiG|1005566.5.peG.1046	sbmA
fiG|1005566.5.peG.1047	yaiW
fiG|1005566.5.peG.1048	yaiY
fiG|1005566.5.peG.1049	yaiZ
fiG|1005566.5.peG.105	yigF
fiG|1005566.5.peG.1050	ddlA
fiG|1005566.5.peG.1051	yaiB
fiG|1005566.5.peG.1052	phoA
fiG|1005566.5.peG.1053	psiF
fiG|1005566.5.peG.1054	yaiC
fiG|1005566.5.peG.1055	proC
fiG|1005566.5.peG.1056	yaiI
fiG|1005566.5.peG.1057	aroL
fiG|1005566.5.peG.1058	yaiA
fiG|1005566.5.peG.1059	aroM
fiG|1005566.5.peG.106	yigG
fiG|1005566.5.peG.1060	yaiE
fiG|1005566.5.peG.1061	ykiA
fiG|1005566.5.peG.1062	rdgC
fiG|1005566.5.peG.1063	mak
fiG|1005566.5.peG.1064	araJ
fiG|1005566.5.peG.1065	sbcC
fiG|1005566.5.peG.1066	sbcD
fiG|1005566.5.peG.1067	NA
fiG|1005566.5.peG.1068	NA
fiG|1005566.5.peG.1069	phoB
fiG|1005566.5.peG.107	rarD
