	NCBI_GENE_ID	function	Protein IDs	strain	transcription	muts
0	aaeA	Membrane fusion component of tripartite multidrug resistance system		1	3.2698412698412698	0
1	aaeB	FUSARIC ACID RESISTANCE PROTEIN FUSB / FUSARIC ACID RESISTANCE PROTEIN FUSC		1	2.66847826086957	0
2	aaeR	LysR family transcriptional regulator QseA		1	2.02941176470588	0
3	aas	2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)		1	1.8088888888888897	0
4	aat	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)	sp|P00509|AAT_ECOLI	1	2.63846153846154	1
5	abgA	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A		1	5.36904761904762	0
6	abgB	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit B		1	5.09473684210526	0
7	abgR	Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)		1	1.4515235457063702	0
8	abgT	Aminobenzoyl-glutamate transport protein		1	3.37301587301587	0
9	abrB	Putative transport protein		1	0.6801801801801801	0
10	accA	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	sp|P0ABD5|ACCA_ECOLI;sp|C4ZRS7|ACCA_ECOBW;sp|B1XD54|ACCA_ECODH	1	1.97777777777778	0
11	accB	Biotin carboxyl carrier protein of acetyl-CoA carboxylase		1	1.24242424242424	0
12	accC	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	sp|P24182|ACCC_ECOLI	1	0.6165670367207521	0
13	accD	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	sp|P0A9Q5|ACCD_ECOLI;sp|B1X927|ACCD_ECODH	1	1.14227272727273	0
14	aceA	Isocitrate lyase (EC 4.1.3.1)	sp|P0A9G6|ACEA_ECOLI	1	2.55882352941176	0
15	aceB	Malate synthase (EC 2.3.3.9)		1	2.98757763975155	0
16	aceE	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)		1	0.38974540311174	0
17	aceF	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)		1	0.294310566091544	0
18	aceK	Isocitrate dehydrogenase phosphatase (EC 2.7.11.5)/kinase (EC 3.1.3.-)		1	2.48905109489051	0
19	ackA	Acetate kinase (EC 2.7.2.1)	sp|P0A6A3|ACKA_ECOLI	1	0.391762155466089	0
20	acnA	Aconitate hydratase (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)	sp|P25516|ACNA_ECOLI	1	1.03178991015895	0
