	NCBI_GENE_ID	Unnamed: 1	St1_trans	St2_trans	St3_trans	St4_trans	St5_trans	function	evidence_codes	figfam	Protein IDs	St7_prot	St8_prot	St9_prot	Gene_ID	Final_name	St1_muts	St2_muts	St3_muts	St4_muts	St5_muts
0	aaeA	fig|1005566.5.peg.3936	3.26984126984127	4.93650793650794	3.52380952380952	4.09523809523809	2.3968253968254	Membrane fusion component of tripartite multidrug resistance system	idu(2);Multidrug_Resistance,_Tripartite_Systems_Found_in_Gram_Negative_Bacteria	FIG00001080						aaeA	0	0	0	0	0
1	aaeB	fig|1005566.5.peg.3937	2.66847826086957	3.94021739130435	2.30434782608696	3.05434782608696	1.96739130434783	FUSARIC ACID RESISTANCE PROTEIN FUSB / FUSARIC ACID RESISTANCE PROTEIN FUSC	ff	FIG00634841						aaeB	0	0	0	0	0
2	aaeR	fig|1005566.5.peg.3934	2.02941176470588	3.09803921568627	1.52941176470588	2.28921568627451	2.0	LysR family transcriptional regulator QseA	idu(1);LysR-family_proteins_in_Escherichia_coli idu(1);LysR-family_proteins_in_Salmonella_enterica_Typhimurium	FIG00001509						aaeR	0	0	0	0	0
3	aas	fig|1005566.5.peg.3525	1.80888888888889	2.4562962962963	1.70814814814815	2.36296296296296	0.986666666666667	2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)	icw(2);CBSS-364106.7.peg.3211 icw(3);CBSS-364106.7.peg.3211	FIG01953891						aas	0	0	0	0	0
4	aat	fig|1005566.5.peg.1551	2.63846153846154	3.02307692307692	1.43076923076923	2.11538461538462	1.46153846153846	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)	isu;Protein_degradation	FIG00000748	sp|P00509|AAT_ECOLI	1.126984126984127	3.238095238095238	1.1746031746031746	aat	aat	1	1	1	1	1
5	abgA	fig|1005566.5.peg.2006	5.36904761904762	4.38095238095238	1.3452380952381	2.53571428571429	1.83333333333333	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A	isu;p-Aminobenzoyl-Glutamate_Utilization	FIG00001384						abgA	0	0	0	0	0
6	abgB	fig|1005566.5.peg.2005	5.09473684210526	5.34736842105263	1.76842105263158	3.36842105263158	2.16842105263158	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit B	icw(3);p-Aminobenzoyl-Glutamate_Utilization	FIG00139150						abgB	0	0	0	0	0
7	abgR	fig|1005566.5.peg.2007	1.45152354570637	0.994459833795014	0.407202216066482	0.698060941828255	0.803324099722992	Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)	isu;LysR-family_proteins_in_Escherichia_coli icw(1);p-Aminobenzoyl-Glutamate_Utilization	FIG00008656						abgR	0	0	0	0	0
8	abgT	fig|1005566.5.peg.2004	3.37301587301587	3.5	1.22222222222222	2.18253968253968	1.65873015873016	Aminobenzoyl-glutamate transport protein	icw(2);p-Aminobenzoyl-Glutamate_Utilization	FIG00010524						abgT	0	0	0	0	0
9	abrB	fig|1005566.5.peg.1386	0.68018018018018	0.828828828828829	0.382882882882883	0.608108108108108	1.76351351351351	Putative transport protein	ff	FIG00453115						abrB	0	0	0	0	0
10	accA	fig|1005566.5.peg.893	1.97777777777778	2.31111111111111	3.34814814814815	2.93518518518519	2.24444444444444	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	isu;Fatty_Acid_Biosynthesis_FASII	FIG00000442	sp|P0ABD5|ACCA_ECOLI;sp|C4ZRS7|ACCA_ECOBW;sp|B1XD54|ACCA_ECODH	1.0476190476190477	3.2857142857142856	1.0952380952380953	accA	accA	0	0	0	0	0
11	accB	fig|1005566.5.peg.3921	1.24242424242424	1.53131313131313	1.52929292929293	1.95353535353535	0.753535353535354	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	isu;Fatty_Acid_Biosynthesis_FASII isu;CBSS-221988.1.peg.1679	FIG00000411						accB	0	0	0	0	0
12	accC	fig|1005566.5.peg.3920	0.616567036720752	0.884286934244236	1.42869342442357	1.16097352690009	0.798035866780529	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	icw(1);Fatty_Acid_Biosynthesis_FASII icw(2);CBSS-221988.1.peg.1679	FIG00000420	sp|P24182|ACCC_ECOLI	1.074074074074074	2.888888888888889	1.1481481481481481	accC	accC	0	0	0	0	0
13	accD	fig|1005566.5.peg.3011	1.14227272727273	1.30863636363636	2.51227272727273	1.52	1.07318181818182	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	isu;Fatty_Acid_Biosynthesis_FASII icw(3);Colicin_V_and_Bacteriocin_Production_Cluster	FIG00000437	sp|P0A9Q5|ACCD_ECOLI;sp|B1X927|ACCD_ECODH	1.0416666666666667	2.625	1.125	accD	accD	0	0	0	0	0
14	aceA	fig|1005566.5.peg.292	2.55882352941176	3.25	1.18382352941176	1.86029411764706	1.85294117647059	Isocitrate lyase (EC 4.1.3.1)	icw(2);Glyoxylate_bypass isu;Glyoxylate_bypass_cluster isu;Serine-glyoxylate_cycle	FIG00000818	sp|P0A9G6|ACEA_ECOLI	0.6904761904761905	1.8214285714285714	0.5238095238095238	aceA	aceA	0	0	0	0	0
15	aceB	fig|1005566.5.peg.291	2.98757763975155	2.85093167701863	1.79503105590062	2.27329192546584	2.50310559006211	Malate synthase (EC 2.3.3.9)	isu;Glycolate_utilization_operon isu;Glyoxylate_bypass icw(1);Glyoxylate_bypass_cluster	FIG00001217						aceB	0	0	0	0	0
16	aceE	fig|1005566.5.peg.818	0.38974540311174	0.36973125884017	0.72970297029703	0.487199434229137	1.00289957567185	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	isu;Methionine_Degradation isu;Dehydrogenase_complexes icw(1);5-FCL-like_protein isu;Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	FIG00137886						aceE	0	1	1	1	1
17	aceF	fig|1005566.5.peg.819	0.294310566091544	0.287323541993441	0.700983887066876	0.48196207044061	1.00142592328533	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	icw(1);Dehydrogenase_complexes icw(2);5-FCL-like_protein icw(2);Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	FIG00136675						aceF	0	0	0	0	0
18	aceK	fig|1005566.5.peg.293	2.48905109489051	3.4014598540146	1.01459854014599	1.94890510948905	1.83941605839416	Isocitrate dehydrogenase phosphatase (EC 2.7.11.5)/kinase (EC 3.1.3.-)	icw(1);Glyoxylate_bypass icw(2);Glyoxylate_bypass_cluster	FIG00001820						aceK	0	0	0	0	0
19	ackA	fig|1005566.5.peg.2991	0.391762155466089	0.47878600185816	0.445339114276866	0.538247135336017	0.789408485599257	Acetate kinase (EC 2.7.2.1)	icw(1);Fermentations:_Lactate idu(1);CBSS-257314.1.peg.752 icw(1);Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate idu(1);Ethanolamine_utilization idu(1);Fermentations:_Mixed_acid	FIG00067248	sp|P0A6A3|ACKA_ECOLI	1.4210526315789473	3.473684210526316	0.9473684210526316	ackA	ackA	0	0	0	0	0
20	acnA	fig|1005566.5.peg.1938	1.03178991015895	1.12163096060815	0.977885279889426	0.982722874913614	1.1845196959226	Aconitate hydratase (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)	isu;TCA_Cycle isu;Glyoxylate_bypass idu(1);Methylcitrate_cycle isu;Serine-glyoxylate_cycle		sp|P25516|ACNA_ECOLI	0.5384615384615385	0.3461538461538462	0.23076923076923078	acnA	acnA	0	0	0	0	0
21	acnB	fig|1005566.5.peg.822	0.708472856418062	0.709893455098935	1.17889396245561	1.09274479959411	0.984982242516489	Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)	isu;TCA_Cycle isu;Glyoxylate_bypass idu(1);Methylcitrate_cycle		sp|P36683|ACNB_ECOLI	0.7457627118644067	2.211864406779661	0.7203389830508474	acnB	acnB	0	0	0	0	0
