	NCBI_GENE_ID	St1_trans	St2_trans	St3_trans	St4_trans	St5_trans	function	Protein IDs	St7_prot	St8_prot	St9_prot	St1_muts	St2_muts	St3_muts	St4_muts	St5_muts	St7_muts	St8_muts	St9_muts
0	aaeA	3.26984126984127	4.93650793650794	3.52380952380952	4.09523809523809	2.3968253968254	Membrane fusion component of tripartite multidrug resistance system					0	0	0	0	0	0	0	0
1	aaeB	2.66847826086957	3.94021739130435	2.30434782608696	3.05434782608696	1.96739130434783	FUSARIC ACID RESISTANCE PROTEIN FUSB / FUSARIC ACID RESISTANCE PROTEIN FUSC					0	0	0	0	0	0	0	0
2	aaeR	2.02941176470588	3.09803921568627	1.52941176470588	2.28921568627451	2.0	LysR family transcriptional regulator QseA					0	0	0	0	0	0	0	0
3	aas	1.80888888888889	2.4562962962963	1.70814814814815	2.36296296296296	0.986666666666667	2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)					0	0	0	0	0	0	0	0
4	aat	2.63846153846154	3.02307692307692	1.43076923076923	2.11538461538462	1.46153846153846	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)	sp|P00509|AAT_ECOLI	1.126984126984127	3.238095238095238	1.1746031746031746	1	1	1	1	1	0	0	0
5	abgA	5.36904761904762	4.38095238095238	1.3452380952381	2.53571428571429	1.83333333333333	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A					0	0	0	0	0	0	0	0
6	abgB	5.09473684210526	5.34736842105263	1.76842105263158	3.36842105263158	2.16842105263158	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit B					0	0	0	0	0	0	0	0
7	abgR	1.45152354570637	0.994459833795014	0.407202216066482	0.698060941828255	0.803324099722992	Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)					0	0	0	0	0	0	0	0
8	abgT	3.37301587301587	3.5	1.22222222222222	2.18253968253968	1.65873015873016	Aminobenzoyl-glutamate transport protein					0	0	0	0	0	0	0	0
9	abrB	0.68018018018018	0.828828828828829	0.382882882882883	0.608108108108108	1.76351351351351	Putative transport protein					0	0	0	0	0	0	0	0
10	accA	1.97777777777778	2.31111111111111	3.34814814814815	2.93518518518519	2.24444444444444	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	sp|P0ABD5|ACCA_ECOLI;sp|C4ZRS7|ACCA_ECOBW;sp|B1XD54|ACCA_ECODH	1.0476190476190477	3.2857142857142856	1.0952380952380953	0	0	0	0	0	0	0	0
11	accB	1.24242424242424	1.53131313131313	1.52929292929293	1.95353535353535	0.753535353535354	Biotin carboxyl carrier protein of acetyl-CoA carboxylase					0	0	0	0	0	0	0	0
12	accC	0.616567036720752	0.884286934244236	1.42869342442357	1.16097352690009	0.798035866780529	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	sp|P24182|ACCC_ECOLI	1.074074074074074	2.888888888888889	1.1481481481481481	0	0	0	0	0	0	0	0
13	accD	1.14227272727273	1.30863636363636	2.51227272727273	1.52	1.07318181818182	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	sp|P0A9Q5|ACCD_ECOLI;sp|B1X927|ACCD_ECODH	1.0416666666666667	2.625	1.125	0	0	0	0	0	0	0	0
14	aceA	2.55882352941176	3.25	1.18382352941176	1.86029411764706	1.85294117647059	Isocitrate lyase (EC 4.1.3.1)	sp|P0A9G6|ACEA_ECOLI	0.6904761904761905	1.8214285714285714	0.5238095238095238	0	0	0	0	0	0	0	0
15	aceB	2.98757763975155	2.85093167701863	1.79503105590062	2.27329192546584	2.50310559006211	Malate synthase (EC 2.3.3.9)					0	0	0	0	0	0	0	0
16	aceE	0.38974540311174	0.36973125884017	0.72970297029703	0.487199434229137	1.00289957567185	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)					0	1	1	1	1	0	0	0
