	Unnamed: 0	NCBI_GENE_ID	function	Protein IDs	strain	transcription	muts
0	0	aaeA	Not annotated		1	3.2698412698412698	0
1	1	aaeB	Not annotated		1	2.66847826086957	0
2	2	aaeR	Not annotated		1	2.02941176470588	0
3	3	aas	Not annotated		1	1.8088888888888897	0
4	4	aat	Not annotated	sp|P00509|AAT_ECOLI	1	2.63846153846154	1
5	5	abgA	Not annotated		1	5.36904761904762	0
6	6	abgB	Not annotated		1	5.0947368421052595	0
7	7	abgR	Not annotated		1	1.4515235457063702	0
8	8	abgT	Not annotated		1	3.37301587301587	0
9	9	abrB	Not annotated		1	0.6801801801801801	0
10	10	accA	Not annotated	sp|P0ABD5|ACCA_ECOLI;sp|C4ZRS7|ACCA_ECOBW;sp|B1XD54|ACCA_ECODH	1	1.97777777777778	0
11	11	accB	Not annotated		1	1.24242424242424	0
12	12	accC	Not annotated	sp|P24182|ACCC_ECOLI	1	0.6165670367207521	0
13	13	accD	Not annotated	sp|P0A9Q5|ACCD_ECOLI;sp|B1X927|ACCD_ECODH	1	1.14227272727273	0
14	14	aceA	Not annotated	sp|P0A9G6|ACEA_ECOLI	1	2.5588235294117596	0
15	15	aceB	Not annotated		1	2.98757763975155	0
16	16	aceE	Not annotated		1	0.38974540311174	0
17	17	aceF	Metabolism		1	0.294310566091544	0
18	18	aceK	Regulation		1	2.48905109489051	0
19	19	ackA	Not annotated	sp|P0A6A3|ACKA_ECOLI	1	0.391762155466089	0
20	20	acnA	Not annotated	sp|P25516|ACNA_ECOLI	1	1.03178991015895	0
21	21	acnB	Not annotated	sp|P36683|ACNB_ECOLI	1	0.708472856418062	0
22	22	acpP	Not annotated		1	0.427875088262761	0
23	23	acpS	Not annotated		1	2.0	0
24	24	acpT	Not annotated		1	2.07228915662651	0
25	25	acrA	Not annotated	sp|P0AE06|ACRA_ECOLI	1	1.99691040164779	0
26	26	acrB	Transport	sp|P31224|ACRB_ECOLI	1	1.3806957373836397	1
27	27	acrD	Not annotated		1	2.0987654320987703	0
28	28	acrE	Not annotated		1	2.98230088495575	0
29	29	acrF	Not annotated		1	2.09779179810726	0
30	30	acrR	Not annotated		1	1.8588390501319296	0
31	31	acs	Not annotated		1	0.347624565469293	0
32	32	actP	Not annotated		1	1.2508474576271202	1
33	33	ada	Not annotated		1	1.9787234042553201	0
34	34	add	Not annotated	sp|P22333|ADD_ECOLI;sp|C4ZY85|ADD_ECOBW;sp|B1XF88|ADD_ECODH	1	1.5498084291187701	0
35	35	ade	Not annotated		1	1.54607508532423	0
36	36	adhE	Not annotated	sp|P0A9Q7|ADHE_ECOLI	1	1.60625752105897	1
37	37	adhP	Not annotated		1	2.37261146496815	0
38	38	adiA	Not annotated		1	2.6124260355029603	0
39	39	adiC	Not annotated		1	2.96273291925466	0
40	40	adiY	Not annotated		1	2.96190476190476	0
41	41	adk	Not annotated		1	2.56271929824561	0
42	42	aegA	Not annotated		1	1.41269841269841	1
43	43	aer	Not annotated		1	1.28484107579462	1
44	44	aes	Not annotated		1	1.64454976303318	0
45	45	afuB	Not annotated		1	3.5	0
46	46	afuC	Not annotated		1	3.0	0
47	47	agaA	Not annotated		1	3.0297029702970297	0
48	48	agaB	Not annotated		1	3.0476190476190497	0
49	49	agaC	Not annotated		1	4.0	1
50	50	agaD	Not annotated		1	2.953125	0
51	51	agaI	Not annotated		1	3.21428571428571	1
52	52	agaR	Not annotated		1	0.986394557823129	0
53	53	agaS	Not annotated		1	2.696	0
54	54	agaV	Not annotated		1	3.6666666666666696	0
55	55	agaW	Not annotated		1	3.14285714285714	0
56	56	agp	Not annotated		1	0.27181385510312	0
57	57	ahpC	Not annotated	sp|P0AE08|AHPC_ECOLI	1	0.44174481386757597	0
58	58	ahpF	Not annotated	sp|P35340|AHPF_ECOLI	1	0.6676777890124711	0
59	59	aidB	Not annotated		1	2.67816091954023	0
60	60	ais	Not annotated		1	2.26966292134831	0
61	61	alaS	Not annotated		1	0.7646864686468651	0
62	62	alaU	Not annotated		1	0.666666666666667	0
63	63	alaU	Not annotated		1	0.5283018867924529	0
64	64	alaU	Not annotated		1	0.0	0
65	65	alaW	Not annotated		1	0.678832116788321	0
66	66	alaW	Not annotated		1	0.447115384615385	0
67	67	aldA	Not annotated	sp|P25553|ALDA_ECOLI	1	0.496753246753247	1
68	68	aldB	Not annotated		1	1.47191011235955	0
69	69	alkA	Not annotated		1	3.0103092783505203	0
70	70	alkB	Not annotated		1	2.58490566037736	0
71	71	allA	Not annotated		1	2.75324675324675	0
72	72	allB	Not annotated		1	2.72222222222222	0
73	73	allC	Not annotated		1	2.3359375	0
74	74	allD	Metabolism		1	2.64285714285714	0
75	75	allR	Not annotated	sp|P0ACN4|ALLR_ECOLI	1	0.47604562737642603	0
76	76	alr	Not annotated		1	1.3118279569892501	1
77	77	alsA	Not annotated		1	2.7108433734939803	1
78	78	alsB	Not annotated		1	2.33	0
79	79	alsC	Not annotated		1	2.80519480519481	0
80	80	alsE	Not annotated		1	2.3658536585365897	0
81	81	alsK	Not annotated		1	2.73504273504274	0
82	82	alx	Not annotated		1	1.98089171974522	0
83	83	amiA	Not annotated		1	1.0821917808219201	0
84	84	amiB	Not annotated		1	1.06708268330733	0
85	85	amiC	Not annotated		1	1.19794344473008	0
86	86	amn	Not annotated	sp|P0AE12|AMN_ECOLI	1	2.23094688221709	0
87	87	ampC	Membrane/cell wall	sp|P00811|AMPC_ECOLI	1	2.39130434782609	0
88	88	ampD	Not annotated		1	1.2403100775193798	0
89	89	ampE	Not annotated		1	2.375	0
90	90	ampG	Not annotated		1	1.7906976744186005	0
91	91	ampH	Not annotated		1	0.699814126394052	0
92	92	amtB	Transport		1	1.8838174273858896	0
93	93	amyA	Metabolism		1	1.6109215017064802	0
94	94	ansA	Not annotated		1	3.125	0
95	95	ansB	Not annotated		1	0.0967411354785817	0
96	96	ansP	Not annotated		1	7.41803278688525	0
