	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	NCBI_GENE_ID	St1_trans	St2_trans	St3_trans	St4_trans	St5_trans	function	Protein IDs	St7_prot	St8_prot	St9_prot	St1_muts	St2_muts	St3_muts	St4_muts	St5_muts	St7_muts	St8_muts	St9_muts	functions
0	0	0	0	aaeA	3.2698412698412698	4.93650793650794	3.52380952380952	4.09523809523809	2.3968253968254	Membrane fusion component of tripartite multidrug resistance system					0	0	0	0	0	0	0	0	Not annotated
1	1	1	1	aaeB	2.66847826086957	3.94021739130435	2.3043478260869596	3.0543478260869596	1.9673913043478304	FUSARIC ACID RESISTANCE PROTEIN FUSB / FUSARIC ACID RESISTANCE PROTEIN FUSC					0	0	0	0	0	0	0	0	Not annotated
2	2	2	2	aaeR	2.02941176470588	3.09803921568627	1.52941176470588	2.2892156862745097	2.0	LysR family transcriptional regulator QseA					0	0	0	0	0	0	0	0	Not annotated
3	3	3	3	aas	1.8088888888888897	2.4562962962962995	1.7081481481481495	2.36296296296296	0.986666666666667	2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)					0	0	0	0	0	0	0	0	Not annotated
4	4	4	4	aat	2.63846153846154	3.02307692307692	1.4307692307692301	2.1153846153846203	1.46153846153846	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)	sp|P00509|AAT_ECOLI	1.126984126984127	3.238095238095238	1.1746031746031746	1	1	1	1	1	0	0	0	Not annotated
5	5	5	5	abgA	5.36904761904762	4.38095238095238	1.3452380952381	2.53571428571429	1.8333333333333304	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A					0	0	0	0	0	0	0	0	Not annotated
6	6	6	6	abgB	5.0947368421052595	5.3473684210526296	1.76842105263158	3.36842105263158	2.16842105263158	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit B					0	0	0	0	0	0	0	0	Not annotated
7	7	7	7	abgR	1.4515235457063702	0.994459833795014	0.4072022160664821	0.6980609418282551	0.803324099722992	Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)					0	0	0	0	0	0	0	0	Not annotated
8	8	8	8	abgT	3.37301587301587	3.5	1.22222222222222	2.18253968253968	1.65873015873016	Aminobenzoyl-glutamate transport protein					0	0	0	0	0	0	0	0	Not annotated
9	9	9	9	abrB	0.6801801801801801	0.8288288288288291	0.382882882882883	0.6081081081081079	1.7635135135135098	Putative transport protein					0	0	0	0	0	0	0	0	Not annotated
